2015-05-07 21:58:47,991 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: edu.sjsu:authentication:1.0.0-BUILD-SNAPSHOT @ C:\VARUN\D\SPRING_2015\275 - Zhang\Project\Workspaces\AuthenticationWorkspace\QuizMeAuthentication\pom.xml.
2015-05-07 21:58:47,996 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: edu.sjsu:authentication:1.0.0-BUILD-SNAPSHOT @ C:\VARUN\D\SPRING_2015\275 - Zhang\Project\Workspaces\AuthenticationWorkspace\QuizMeAuthentication\pom.xml.
2015-05-07 21:58:54,431 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-07 21:58:54,469 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-07 21:58:54,488 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-07 21:58:54,508 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-07 21:58:56,641 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: edu.sjsu:authentication:1.0.0-BUILD-SNAPSHOT @ C:\VARUN\D\SPRING_2015\275 - Zhang\Project\Workspaces\AuthenticationWorkspace\QuizMeAuthentication\pom.xml.
2015-05-07 21:58:59,683 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-07 21:58:59,713 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-07 21:58:59,723 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-07 21:58:59,728 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-09 00:46:31,669 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-09 00:46:31,714 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-09 00:46:31,742 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-09 00:46:31,763 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-09 01:29:49,188 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-09 01:29:49,235 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
